SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING
3308,Tse La Vie,Lobo Mesa,,,1,0,0,0,0,1,800000,3930000
3309,Tse Lichii,Central San Juan Basin,12,1,1,0,0,0,0,1,790000,3980000
3310,Tseyatoh,Rio Puerco of the West,60,1,1,1,0,0,0,2,690000,3930000
3311,Tsin Kletzin,Chaco Canyon,80,2,1,0,0,0,0,1,770000,3990000
2512,Tsintaa Yitilii,Defiance Plateau,,,1,0,0,0,0,1,610000,3960000
743,Twin Angels,Central San Juan Basin,19,1,1,0,0,0,0,1,770000,4050000
3313,Twin Lakes,Chuska Slope,,,1,1,0,0,0,2,700000,3960000
1946,Twin Towers,Middle San Juan,50,1,0,0,0,0,0,1,680000,4090000
3315,Una Vida,Chaco Canyon,100,2,1,2,0,0,0,3,780000,3990000
3387,Upper Battleship Rock Pueblo,San Juan Foothills,,,1,0,0,0,0,1,720000,4120000
3316,Upper Kin Klizhin,Central San Juan Basin,25,1,1,0,0,0,0,1,770000,3980000
3317,Upper Kin Nizhoni,Lobo Mesa,14,1,1,1,0,0,0,2,790000,3920000
3319,Vidal Canyon,Rio Puerco of the West,35,1,0,1,0,0,0,1,710000,3940000
1288,Village of the Great Kivas,Cibola,60,1,1,2,0,0,0,3,710000,3900000
3320,Wallace Ruin,San Juan Foothills,124,2,1,0,0,0,0,1,720000,4140000
3321,Wancura-Johnson GK,San Juan Foothills,,,0,1,0,0,0,1,680000,4180000
3326,Whirlwind House,Central San Juan Basin,12,1,1,1,0,0,0,2,730000,3990000
1376,White House,Upper Chinle Drainage,94,2,1,0,0,0,0,1,640000,4000000
3370,Whites Canyon Pueblo,San Juan Foothills,150,2,0,1,0,0,0,1,730000,4120000
3327,Whitewater,Rio Puerco of the West,,,0,1,0,0,0,1,670000,3900000
3329,Willow Canyon--San Juan Basin,Central San Juan Basin,18,1,0,0,0,0,0,1,730000,4000000
3330,Wolye Adin,Rio Puerco of the West,,,1,0,0,0,0,1,680000,3920000
3358,Woods Canyon Pueblo,San Juan Foothills,110,2,0,0,1,0,0,1,690000,4150000
1365,Wupatki,Flagstaff,102,2,1,1,0,0,0,2,470000,3930000
3332,Yellow Jacket,San Juan Foothills,,,1,1,0,1,0,3,700000,4150000
3333,Yucca House,San Juan Foothills,20,1,1,2,0,1,0,4+,710000,4130000
