"SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"51","708","Aztec","Mudware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.3113","0.2903","0.268","0.2449","0.2216","0.1986","0.1761","0.1547","0.1345","0"
"52","708","Aztec","Nava Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8604","4.1189","6.6332","7.7752","6.6332","4.1189","1.8604","0"
"53","708","Aztec","PII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","16.2198","7.7802","0","0","0","0","0","0","0","0"
"54","708","Aztec","PII/PIII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","23.6375","25.1538","25.1538","23.6375","20.8735","17.3216","13.5076","9.8984","6.8163","0"
"55","708","Aztec","PIII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7259","1.5132","2.4694","3.1544","3.1544","2.4694","1.5132","0"
"56","708","Aztec","Plain Brown Smudged, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.1466","0.139","0.1303","0.1212","0.1118","0.102","0.0925","0.0828","0.0736","0"
"57","708","Aztec","Plain Brown Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","4.3989","4.1704","3.9099","3.6366","3.3552","3.0612","2.7736","2.4851","2.209","0"
"58","708","Aztec","Plain Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","32.1453","28.819","25.4368","22.1039","18.9103","15.9277","13.2077","10.7827","8.6666","0"
"59","708","Aztec","Polacca Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1424","0.3576","0.3576","0.1424","0","0"
"60","708","Aztec","Polychrome, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.2755","0.2933","0.3104","0.3255","0.3393","0.3517","0.3612","0.3688","0.3744","0"
"61","708","Aztec","Puerco Black-on-red","0","0","0","0","0","0","0","0","0","0","0","34.6132","40.5727","34.6132","21.4931","9.7077","0","0","0","0","0"
"62","708","Aztec","Puerco Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.844","1.4455","1.7683","1.5458","0.9656","0.4308","0","0","0","0"
"63","708","Aztec","Red Ware type, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","2.8931","3.0413","3.1654","3.2617","3.3275","3.3609","3.3609","3.3275","3.2617","0"
"64","708","Aztec","Reserve Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.5738","1.3516","2.0745","2.0745","1.3516","0.5738","0","0","0","0"
"65","708","Aztec","Showlow Red","0","0","0","0","0","0","0","0","0","0","0","45.0597","17.9403","0","0","0","0","0","0","0","0"
"66","708","Aztec","Snowflake Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0564","0.1248","0.201","0.2356","0.201","0.1248","0.0564","0"
"67","708","Aztec","Sosi Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.1603","2.0039","4.3358","4.3358","2.0039","0.1603","0","0","0","0"
"68","708","Aztec","St. Johns Black-on-red","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.471","18.7645","18.7645","0"
"69","708","Aztec","St. Johns Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2779","35.861","35.861","0"
"70","708","Aztec","Taylor Black-on-white","0","0","0","0","0","0","0","0","0","0","0","5.7219","2.2781","0","0","0","0","0","0","0","0"
"71","708","Aztec","Toadlena Black-on-white","0","0","0","0","0","0","0","0","0","0","0","18.1522","11.8267","5.0211","0","0","0","0","0","0","0"
"72","708","Aztec","Tsegi Black-on-orange","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6339","1.3661","0"
"73","708","Aztec","Tsegi Orange","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
