"Site","P_900","DOG_900","BM_900","M_900","DOG_P_900","BM_P_900","DOG_R_900","EV_900","P_950","DOG_950","BM_950","M_950","DOG_P_950","BM_P_950","DOG_R_950","EV_950","P_1000","DOG_1000","BM_1000","M_1000","DOG_P_1000","BM_P_1000","DOG_R_1000","EV_1000","P_1050","DOG_1050","BM_1050","M_1050","DOG_P_1050","BM_P_1050","DOG_R_1050","EV_1050","P_1100","DOG_1100","BM_1100","M_1100","DOG_P_1100","BM_P_1100","DOG_R_1100","EV_1100","P_1150","DOG_1150","BM_1150","M_1150","DOG_P_1150","BM_P_1150","DOG_R_1150","EV_1150","SWSN_ID","CSN_macro_group","Mean_Rooms","Size_Class","GH_Count","GK_Count","Dshp_Count","Biwall_Count","Triwall_Count","PubArch","EASTING","NORTHING"
"Greasy Hill",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3.2087,0.6717,1,0,0.209337114719357,0.311652694237542,0.209337114719357,NA,14.4315,12.3764,0,0,0.857596230468073,0,0.857596230468073,1.33226740505055,13.0115,11.9519,0,0,0.918564346923875,0,0.918564346923875,1.35505243078881,0.3485,0,0,0,0,0,0,NA,3117,"Central San Juan Basin",6,1,1,0,0,0,0,"1",780000,4000000
"Great Bend House A",23.0826,0,9.435,0,0,0.408749447635882,0,0.935431707745195,20.0155,0,9.1518,0,0,0.457235642377158,0,1.02745895237028,13.0179,0.1602,1.9934,0,0.0123061323254903,0.153127616589465,0.0123061323254903,0.605695560927678,14.6205,2.9511,0,0,0.201846722068329,0,0.201846722068329,0.633872065028045,14.3111,1.8888,0,0,0.131981468929712,0,0.131981468929712,0.891871189278968,0,0,0,0,NA,NA,NA,NA,3118,"Central San Juan Basin",23,1,1,0,0,0,0,"1",730000,4000000
"Great Bend House B",16.6712,0,13.0889,0,0,0.785120447238351,0,0.939924556349386,31.1841,0,24.5572,0,0,0.787491061149753,0,1.13033322272727,27.4138,6.0025,4.8612,0,0.218959064412814,0.177326747842328,0.218959064412814,1.00051399422394,20.9614,18.1219,0,0,0.864536719875581,0,0.864536719875581,1.25204990509147,12.4906,7.8756,0,0,0.630522152658799,0,0.630522152658799,1.27679741570735,0,0,0,0,NA,NA,NA,NA,3119,"Central San Juan Basin",12,1,1,0,0,0,0,"1",730000,4000000
"Great Bend West",6.8842,0,6.5672,0,0,0.953952528979402,0,NA,7.4582,0,7.4582,0,0,1,0,NA,2.7316,0.1896,2.042,0,0.0694098696734514,0.747547225069556,0.0694098696734514,NA,4.4376,3.7379,0,0,0.842324680007211,0,0.842324680007211,NA,3.8727,3.0725,0,0,0.793374131742712,0,0.793374131742712,NA,0,0,0,0,NA,NA,NA,NA,3120,"Central San Juan Basin",20,1,1,0,0,0,0,"1",720000,4010000
"Greenlee",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,11.2491,0.3331,9,0,0.0296112577895121,0.80006400512041,0.0296112577895121,1.28260965104514,9.9511,6.1228,0,0,0.615288762046407,0,0.615288762046407,1.11819175622364,9.3937,3.5442,0,0,0.377295421399449,0,0.377295421399449,1.24741081821416,4.4062,0,0,0,0,0,0,NA,3123,"Central San Juan Basin",18,1,1,0,0,0,0,"1",780000,3980000
"Grey Hill Spring",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,54.2084,3.5248,18,0,0.0650231329461855,0.332051859121465,0.0650231329461855,1.26605033918371,78.4403,42.2756,0,0,0.538952553725572,0,0.538952553725572,1.32037338440779,81.3956,25.1996,0,0,0.309594130395255,0,0.309594130395255,1.38946048944758,13.9563,0,0,0,0,0,0,1.24641803728737,3124,"Central San Juan Basin",21,1,1,0,0,0,0,"1",720000,3990000
"Grey Ridge",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,12.0695,7.3111,0,0,0.605750031070053,0,0.605750031070053,1.02750894368178,18.3457,7.6889,0,0,0.419111835470982,0,0.419111835470982,0.89949779315923,15.855,0,0,0,0,0,0,0.346837480866592,3125,"Chuska Slope",NA,NA,1,0,0,0,0,"1",710000,3960000
"Guadalupe",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,435.8396,312.3757,0,0,0.716721702204205,0,0.716721702204205,1.32571022854249,569.0734,332.6243,0,0,0.584501577476649,0,0.584501577476649,1.31473396577515,261.6755,0,0,0,0,0,0,0.61831221580137,3126,"Puerco River East",74,2,1,1,0,0,0,"2",850000,3940000
"H Spear",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,35.4588,0.3536,11,0,0.0099721366769321,0.310219183954336,0.0099721366769321,1.28339500496907,63.0908,6.5532,0,0,0.103869343866301,0,0.103869343866301,1.34238347468682,77.1326,5.0931,0,0,0.0660304462704485,0,0.0660304462704485,1.3769392756734,67.3171,0,0,0,0,0,0,1.24773609141071,3127,"Cibola",14,1,1,1,0,0,0,"2",680000,3850000
"Halfway House",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,9.3348,2.038,0,0,0.218322834983074,0,0.218322834983074,1.22025233666487,14.6655,2.9621,0,0,0.201977430022843,0,0.201977430022843,0.930627855528764,0,0,0,0,NA,NA,NA,NA,3128,"Central San Juan Basin",12,1,1,0,0,0,0,"1",770000,4030000
