"SWSN_ID","Site","Type","unapportioned","X665.P800","X665.P825","X665.P850","X665.P875","X665.P900","X665.P925","X665.P950","X665.P975","X665.P1000","X665.P1025","X665.P1050","X665.P1075","X665.P1100","X665.P1125","X665.P1150","X665.P1175","X665.P1200","X665.P1225","X665.P1250","X665.P1275"
"63","708","Aztec","Red Ware type, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,1.7023,2.5139,2.9517,3.3054,3.9911,4.0904,3.255,3.0678,4.1224,0
"64","708","Aztec","Reserve Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.3458,1.1442,1.9812,2.1531,1.6603,0.7152,0,0,0,0
"65","708","Aztec","Showlow Red","0",0,0,0,0,0,0,0,0,0,0,40.4017,22.5983,0,0,0,0,0,0,0,0
"66","708","Aztec","Snowflake Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0.0483,0.1163,0.2216,0.2636,0.1789,0.1058,0.0655,0
"67","708","Aztec","Sosi Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.0959,1.6841,4.1107,4.4673,2.4437,0.1984,0,0,0,0
"68","708","Aztec","St. Johns Black-on-red","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.748,16.1342,22.1178,0
"69","708","Aztec","St. Johns Polychrome","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8961,30.8343,42.2695,0
"70","708","Aztec","Taylor Black-on-white","0",0,0,0,0,0,0,0,0,0,0,5.1304,2.8696,0,0,0,0,0,0,0,0
"71","708","Aztec","Toadlena Black-on-white","0",0,0,0,0,0,0,0,0,0,0,14.8702,13.6109,6.5189,0,0,0,0,0,0,0
"72","708","Aztec","Tsegi Black-on-orange","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5058,1.4942,0
"73","708","Aztec","Tsegi Orange","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"74","708","Aztec","Tsegi Red-on-orange","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1499,0.3585,0.4915,0
"75","708","Aztec","Tularosa Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922,0.2329,0.3285,0.3465,0
"76","708","Aztec","Tularosa Fillet Rim","0",0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.1472,0.2797,0.3891,0.3626,0.3452,0.4041,0
"77","708","Aztec","Tusayan Black-on-red","0",0,0,0,0,0,0,0,0,0,0,2.7886,7.8477,13.7103,17.8401,19.5503,14.1951,6.2505,1.8175,0,0
"78","708","Aztec","Tusayan Polychrome","0",0,0,0,0,0,0,0,0,0,0,0,0,0.0414,0.1419,0.2996,0.4339,0.3946,0.3436,0.345,0
"79","708","Aztec","Type, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.6231,0.8724,0.979,1.0512,1.2271,1.2237,0.9555,0.8863,1.1817,0
"80","708","Aztec","White Mountain type, Type Undifferentiated; Early","0",0,0,0,0,0,0,0,0,0,0,7.5189,14.6963,20.6687,25.0685,29.6701,26.9758,17.219,11.7817,10.4011,0
"81","708","Aztec","White ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,127.7386,185.2067,215.03,238.8712,287.4103,294.4507,235.9227,224.5879,305.7819,0
"82","708","Aztec","Wingate Black-on-red","0",0,0,0,0,0,0,0,0,0,0,2.627,8.1709,14.8444,18.9098,19.0936,12.0303,4.3241,0,0,0
"83","708","Aztec","Wingate Polychrome","0",0,0,0,0,0,0,0,0,0,0,0,0,11.7735,31.8086,50.9893,38.2006,12.228,0,0,0
"84","708","Aztec","Woodruff Smudged","0",0,0,0,0,0,0,0,0,0,0,5.4018,5.5982,0,0,0,0,0,0,0,0
"85","720","Pueblo Pintado","Black Mesa/Sosi Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.6985,0.9328,0.9875,0.8141,0.504,0.0632,0,0,0,0
"86","720","Pueblo Pintado","Brimhall Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.1603,0.3317,0.3392,0.1688,0,0,0,0,0,0
"87","720","Pueblo Pintado","Chaco Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,2.1688,5.5786,3.2527,0,0,0,0,0,0
"88","720","Pueblo Pintado","Chaco-McElmo Black-on-white (carbon paint)","0",0,0,0,0,0,0,0,0,0,0,0,0.8385,7.4204,13.4954,7.2457,0,0,0,0,0
"89","720","Pueblo Pintado","Chuska Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.5837,0.9423,0.4739,0,0,0,0,0,0,0
"90","720","Pueblo Pintado","Chuska Carbon Painted White Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.7271,0.7793,0.8589,0.9575,1.0403,0.9836,0.8578,0.7208,0.6012,0.4735
"91","720","Pueblo Pintado","Chuska Indented Corrugated Gray","0",0,0,0,0,0,0,0,0,0,0,0.7767,1.5089,2.7116,4.4318,6.3475,7.1151,6.6152,5.327,3.8295,2.3368
"92","720","Pueblo Pintado","Chuska White Ware type, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.909,0.9741,1.0737,1.197,1.3004,1.2295,1.0723,0.9011,0.7514,0.5917
"93","720","Pueblo Pintado","Cibola Black-on-white, Undifferentiated","0",0,0,0,0,0,0,0,0,0,2e-04,21.829,22.1997,23.7858,26.4015,29.1849,28.7633,26.7771,24.5494,22.8841,20.6252
"94","720","Pueblo Pintado","Cibola Indented Corrugated Gray","0",0,0,0,0,0,0,0,0,0,0,1.4435,2.5115,4.3298,7.2824,11.5017,15.2391,17.9476,19.6271,20.5489,19.5683
"95","720","Pueblo Pintado","Cibola Neckbanded Gray","0",0,0,0,0,0,0,0,0,12.1901,0,0.7794,0.8693,1.0376,1.3037,1.6612,1.9173,2.1237,2.3592,2.707,3.0515
"96","720","Pueblo Pintado","Cibola Plain Gray","0",0,0,0,0,0,0,0,0,1.5243,92.4615,0.0444,0.0495,0.0591,0.0742,0.0946,0.1092,0.1209,0.1343,0.1541,0.1738
"97","720","Pueblo Pintado","Cibola White Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,2e-04,24.3035,24.7164,26.4821,29.3943,32.4933,32.024,29.8124,27.3324,25.4782,22.9632
"98","720","Pueblo Pintado","Corrugated Gray Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,1e-04,21.3505,24.4947,29.2391,35.7112,43.0771,45.7501,45.3319,43.8691,42.6241,39.5521
"99","720","Pueblo Pintado","Deadmans (La Plata) Black-on-red","0",0,0,0,0,0,0,0,0,0.008,0.4874,0.0221,0.0246,0.0294,0.0369,0.0471,0.0543,0.0602,0.0668,0.0767,0.0865
"100","720","Pueblo Pintado","Escavada Black-on-white","0",0,0,0,0,0,0,0,0,0,0,4.8475,2.1525,0,0,0,0,0,0,0,0
"101","720","Pueblo Pintado","Escavada-Puerco Black-on-white","0",0,0,0,0,0,0,0,0,0,1e-04,7.6176,3.3824,0,0,0,0,0,0,0,0
